"","Data","Trait","Top_percentage_to_select","K_Value","Line","Observed","Predicted"
"274","Groundnut","T1",0.1,0.5,"ICGV97165",6.76576921205941,0
"275","Groundnut","T1",0.1,0.5,"ICGV97182",16.5305337377406,0
"276","Groundnut","T1",0.1,0.5,"ICGV97183",10.5602910885353,0
"277","Groundnut","T1",0.1,0.5,"ICGV97232",12.0550354119137,0
"278","Groundnut","T1",0.1,0.5,"ICGV97261",15.3776544120419,0
"279","Groundnut","T1",0.1,0.5,"ICGV97262",14.9303428734931,0
"280","Groundnut","T1",0.1,0.5,"ICGV98105",17.9615285122805,0
"281","Groundnut","T1",0.1,0.5,"ICGV98163",17.3575360642912,0
"282","Groundnut","T1",0.1,0.5,"ICGV98184",15.9028470577946,0
"283","Groundnut","T1",0.1,0.5,"ICGV98294",13.9761928169692,0
"284","Groundnut","T1",0.1,0.5,"ICGV98373",13.6020025809591,0
"285","Groundnut","T1",0.1,0.5,"ICGV98432",10.5530996026752,0
"286","Groundnut","T1",0.1,0.5,"ICGV99029",16.9870731297871,16.9870731297871
"287","Groundnut","T1",0.1,0.5,"ICGV99051",18.90179749925,0
"288","Groundnut","T1",0.1,0.5,"ICGV99052",16.7948082255721,16.7948082255721
"289","Groundnut","T1",0.1,0.5,"ICGV99083",9.79142030342433,0
"290","Groundnut","T1",0.1,0.5,"ICGV99085",15.8627175453218,0
"291","Groundnut","T1",0.1,0.5,"ICGV99160",14.9442582541838,0
"292","Groundnut","T1",0.1,0.5,"ICGV99181",13.5616728108709,0
"293","Groundnut","T1",0.1,0.5,"ICGV99195",12.4306988139965,0
"294","Groundnut","T1",0.1,0.5,"ICGV99233",15.2428632179812,0
"295","Groundnut","T1",0.1,0.5,"ICR48",12.3372446961174,0
"296","Groundnut","T1",0.1,0.5,"J11",16.718218856448,16.718218856448
"297","Groundnut","T1",0.1,0.5,"JL24",14.3879520699615,0
"298","Groundnut","T1",0.1,0.5,"M110-14",10.0144758002323,0
"299","Groundnut","T1",0.1,0.5,"M28-2",13.1364806526444,0
"300","Groundnut","T1",0.1,0.5,"MN1-35",8.26772811726531,0
"301","Groundnut","T1",0.1,0.5,"Mutant3",10.7776669458756,0
"302","Groundnut","T1",0.1,0.5,"Somnath",14.9530238570605,0
"303","Groundnut","T1",0.1,0.5,"TAG24",11.1213396223069,0
